 Go version , binary size (MB) , countwords (s) , sumloop (s) 
 ---------- , ---------------- , -------------- , ----------- 
 1.2        ,             4.59 ,          28.59 ,       19.84 
 1.3        ,             3.61 ,           6.36 ,        6.81 
 1.4        ,             3.65 ,           6.69 ,        6.88 
 1.5        ,             4.04 ,           3.02 ,        4.64 
 1.6        ,             4.00 ,           2.98 ,        4.54 
 1.7        ,             3.47 ,           2.18 ,        3.80 
 1.8        ,             3.69 ,           2.17 ,        3.39 
 1.9        ,             3.68 ,           2.12 ,        2.67 
 1.10       ,             3.87 ,           2.10 ,        2.53 
 1.11       ,             3.79 ,           2.12 ,        2.52 
 1.12       ,             4.00 ,           1.88 ,        2.43 
 1.13       ,             4.01 ,           1.90 ,        2.48 
 1.14       ,             4.07 ,           1.88 ,        2.50 
 1.15       ,             3.47 ,           1.79 ,        2.44 
 1.16       ,             3.36 ,           1.87 ,        2.48 
 1.17       ,             3.13 ,           1.15 ,        2.14 
 1.18       ,             3.12 ,           1.17 ,        2.01 
